,RMSE
"(5, 1, 2)(0, 1, 2, 12)",0.17531880236505323
"(5, 2, 2)(0, 1, 2, 12)",0.154542338839533
"(5, 1, 3)(0, 1, 2, 12)",0.16664594561742
"(5, 2, 3)(0, 1, 2, 12)",0.3801506482591612
"(5, 1, 4)(0, 1, 2, 12)",0.20732748896053443
"(5, 2, 4)(0, 1, 2, 12)",0.16236000190600963
"(5, 1, 5)(0, 1, 2, 12)",0.2154891854398254
"(5, 2, 5)(0, 1, 2, 12)",0.4685132541914894
"(5, 1, 7)(0, 1, 2, 12)",0.20089815739331487
"(5, 2, 7)(0, 1, 2, 12)",0.32021559236484204
"(7, 1, 1)(0, 1, 2, 12)",0.17138507309491066
"(7, 2, 1)(0, 1, 2, 12)",0.1545011329778141
"(7, 1, 2)(0, 1, 2, 12)",0.17625761413243363
"(7, 2, 2)(0, 1, 2, 12)",0.1560781441980075
"(7, 1, 3)(0, 1, 2, 12)",0.16371284079465842
"(7, 2, 3)(0, 1, 2, 12)",0.15400755603589605
"(7, 1, 4)(0, 1, 2, 12)",1.6020277067004418e+65
"(7, 2, 4)(0, 1, 2, 12)",10344.563604486057
"(7, 1, 5)(0, 1, 2, 12)",0.1659375092485982
"(7, 2, 5)(0, 1, 2, 12)",0.33193892566744543
"(7, 1, 7)(0, 1, 2, 12)",0.16875036842976385
"(7, 2, 7)(0, 1, 2, 12)",0.3130133601443416
"(1, 1, 1)(1, 0, 0, 12)",0.2506553781823498
"(1, 2, 1)(1, 0, 0, 12)",0.2517486512514019
"(1, 1, 2)(1, 0, 0, 12)",0.27388838755446465
"(1, 2, 2)(1, 0, 0, 12)",0.25137947363359436
"(1, 1, 3)(1, 0, 0, 12)",0.313325006829227
"(1, 2, 3)(1, 0, 0, 12)",0.2518310524876016
"(1, 1, 4)(1, 0, 0, 12)",0.3188128042627303
"(1, 2, 4)(1, 0, 0, 12)",0.31168718095047326
"(1, 1, 5)(1, 0, 0, 12)",0.30527778014959356
"(1, 2, 5)(1, 0, 0, 12)",0.28749935307948493
"(1, 1, 7)(1, 0, 0, 12)",0.32528480550437694
"(1, 2, 7)(1, 0, 0, 12)",0.27726211514225885
"(2, 1, 1)(1, 0, 0, 12)",0.26137329430740297
"(2, 2, 1)(1, 0, 0, 12)",0.2516183259351768
"(2, 1, 2)(1, 0, 0, 12)",0.29509302721262537
"(2, 2, 2)(1, 0, 0, 12)",0.2520770445395931
"(2, 1, 3)(1, 0, 0, 12)",0.30451239136340214
"(2, 2, 3)(1, 0, 0, 12)",0.2504571372642536
"(2, 1, 4)(1, 0, 0, 12)",0.2562000266079183
"(2, 2, 4)(1, 0, 0, 12)",0.253784483268735
"(2, 1, 5)(1, 0, 0, 12)",0.2854212012581002
"(2, 2, 5)(1, 0, 0, 12)",0.2622463604184415
"(2, 1, 7)(1, 0, 0, 12)",0.3076267711140102
"(2, 2, 7)(1, 0, 0, 12)",0.2768946096463549
"(3, 1, 1)(1, 0, 0, 12)",0.2814181827677449
"(3, 2, 1)(1, 0, 0, 12)",0.24952257464746985
"(3, 1, 2)(1, 0, 0, 12)",0.23572811227019222
"(3, 2, 2)(1, 0, 0, 12)",0.25078051736160095
"(3, 1, 3)(1, 0, 0, 12)",0.27539062542166065
"(3, 2, 3)(1, 0, 0, 12)",0.28921070765421225
"(3, 1, 4)(1, 0, 0, 12)",0.25616476415618694
"(3, 2, 4)(1, 0, 0, 12)",0.25163661875829973
"(3, 1, 5)(1, 0, 0, 12)",0.25083200203458494
"(3, 2, 5)(1, 0, 0, 12)",0.2546998357351826
"(3, 1, 7)(1, 0, 0, 12)",0.3591539086472123
"(3, 2, 7)(1, 0, 0, 12)",0.41127366172083696
"(5, 1, 1)(1, 0, 0, 12)",0.3017506742893311
"(5, 2, 1)(1, 0, 0, 12)",1.087327091900309
"(5, 1, 2)(1, 0, 0, 12)",0.30680450903837486
"(5, 2, 2)(1, 0, 0, 12)",0.2837112998475672
"(5, 1, 3)(1, 0, 0, 12)",0.28783872833199686
"(5, 2, 3)(1, 0, 0, 12)",0.29981531400297284
"(5, 1, 4)(1, 0, 0, 12)",0.2427252612592629
"(5, 2, 4)(1, 0, 0, 12)",0.2584272980282346
"(5, 1, 5)(1, 0, 0, 12)",0.3036046174970248
"(5, 2, 5)(1, 0, 0, 12)",0.2516533302649591
"(5, 1, 7)(1, 0, 0, 12)",0.3155231052572793
"(5, 2, 7)(1, 0, 0, 12)",0.30672767821575087
"(7, 1, 1)(1, 0, 0, 12)",0.30919010046474144
"(7, 2, 1)(1, 0, 0, 12)",1.2350112626643561
"(7, 1, 2)(1, 0, 0, 12)",0.3807432007041965
"(7, 2, 2)(1, 0, 0, 12)",0.33105735043355766
"(7, 1, 3)(1, 0, 0, 12)",0.3236586291624365
"(7, 2, 3)(1, 0, 0, 12)",1.2752411934941812
"(7, 1, 4)(1, 0, 0, 12)",0.28846049985239475
"(7, 2, 4)(1, 0, 0, 12)",283890499.82732004
"(7, 1, 5)(1, 0, 0, 12)",0.32767185196187504
"(7, 2, 5)(1, 0, 0, 12)",0.7518816852151395
"(7, 1, 7)(1, 0, 0, 12)",0.26097012770044714
"(7, 2, 7)(1, 0, 0, 12)",0.3184264530266746
"(1, 1, 1)(1, 1, 0, 12)",0.2860568489306607
"(1, 2, 1)(1, 1, 0, 12)",0.8100400725822073
"(1, 1, 2)(1, 1, 0, 12)",0.2463163247484222
"(1, 2, 2)(1, 1, 0, 12)",1.0051182799753868
"(1, 1, 3)(1, 1, 0, 12)",0.2696056117701566
"(1, 2, 3)(1, 1, 0, 12)",1.0057306314018488
"(1, 1, 4)(1, 1, 0, 12)",0.24717072301283716
"(1, 2, 4)(1, 1, 0, 12)",1.0082763071662
"(1, 1, 5)(1, 1, 0, 12)",0.21491497977338161
"(1, 2, 5)(1, 1, 0, 12)",1.0038647241494423
"(1, 1, 7)(1, 1, 0, 12)",0.21658073818678483
"(1, 2, 7)(1, 1, 0, 12)",0.19239612367714087
